name,job,company,salary,credit_card_number,credit_card_expire
Jenna_Walter,Comptroller,Williams-Bush,2913,580266565507,08/27
Richard_Butler,Primary school teacher,Parsons Group,5691,4337142706225006,01/33
Alice_Chang_PhD,"Engineer, aeronautical",Knight-Walton,4067,3540107046437939,12/30
Felicia_Reyes,Press photographer,"Paul, Leach and French",5750,4379933849734824,09/33
Brandy_Vang,Cartographer,"Lewis, Young and Garcia",7015,3563469868689456,03/33
Thomas_Lloyd,Hotel manager,Garcia-Todd,4813,3598036141005245,07/30
Theresa_Ellison,Control and instrumentation engineer,Morales Inc,7940,3578048954916420,03/25
Jasmine_Haynes,Commercial horticulturist,Collins-Rodriguez,6031,6011199406028583,07/33
David_Duke,Public relations account executive,Potter Ltd,6942,346518921521336,05/31
Anthony_Hale,Newspaper journalist,"Cohen, Anderson and Lopez",5790,6535887224970898,10/31
Michael_Wilcox,Therapeutic radiographer,Gilbert LLC,7448,348412923743130,12/23
Debbie_Welch,"Designer, textile",Valencia Group,8831,3518768464314112,01/28
Mary_Wu,Environmental consultant,Casey-Rogers,1755,4367075052638,05/29
Cynthia_Walton,"Engineer, production",Carpenter-Rosario,7050,213184324047336,03/26
Marc_Palmer,Garment/textile technologist,"Dean, Durham and Allison",5833,4179751995943,09/30
Rodney_Craig,Textile designer,Stewart Ltd,8425,180045213796383,01/33
Nicholas_Morgan,Chief Financial Officer,Oneal-Graves,8591,4236992569274273,05/24
Edward_Cruz,Proofreader,"Campbell, Mccarthy and Kim",5062,2342723516761574,10/25
Nicholas_Miller,Health and safety adviser,Caldwell-Clayton,4630,340261630221692,08/30
Dan_Mcdonald,Warden/ranger,"Flynn, Rodriguez and Bryant",8339,30508416739940,05/30
Joan_Williams,Careers adviser,"Silva, Todd and Boyd",6986,4974768572246524,07/26
Misty_Novak_DVM,Chief Operating Officer,Patel Ltd,8816,180032869775259,10/32
Monica_Harding,Conference centre manager,Young LLC,3840,3588844859989167,05/27
Erin_Cross,Set designer,Moreno Ltd,1437,4663989380258362,06/31
Joe_Smith,Film/video editor,Benson-Ramos,7975,36548959468071,04/33
Tammy_Bailey,Health service manager,Rodriguez Group,9493,060453680641,11/31
